tile_global,class,page,page_local,stem,obj_idx,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,image,rendered,mean_miou,poor
24,apple,1,24,apple003S(6),0,61,149,386,433,images\apple003S(6).jpg,True,0.7591473425421186,False
25,apple,1,25,apple003T(1),0,361,226,583,464,images\apple003T(1).jpg,True,0.7680918513613975,False
26,apple,1,26,apple003T(2),0,379,205,606,455,images\apple003T(2).jpg,True,0.7502434094278965,False
27,apple,1,27,apple004S(1),0,349,161,737,525,images\apple004S(1).jpg,True,0.7638007642734108,False
28,apple,1,28,apple004S(2),0,323,187,690,544,images\apple004S(2).jpg,True,0.7570316157294076,False
29,apple,1,29,apple004S(3),0,377,135,799,533,images\apple004S(3).jpg,True,0.7006533954612573,False
30,apple,1,30,apple004S(4),0,442,152,778,442,images\apple004S(4).jpg,True,0.8103456412068156,False
31,apple,1,31,apple004T(1),0,261,45,577,362,images\apple004T(1).jpg,True,0.7206712294627229,False
32,apple,1,32,apple004T(2),0,418,183,683,433,images\apple004T(2).jpg,True,0.7342759731821962,False
33,apple,1,33,apple004T(3),0,246,90,528,376,images\apple004T(3).jpg,True,0.7335263901679705,False
34,apple,1,34,apple005S(1),0,396,192,698,493,images\apple005S(1).jpg,True,0.743044313703334,False
35,apple,1,35,apple005S(5),0,448,179,745,466,images\apple005S(5).jpg,True,0.786782436242137,False
36,apple,1,36,apple005S(6),0,451,158,798,488,images\apple005S(6).jpg,True,0.7605627074476,False
37,apple,1,37,apple005T(1),0,344,94,591,336,images\apple005T(1).jpg,True,0.7344996392463492,False
38,apple,1,38,apple005T(5),0,335,82,532,289,images\apple005T(5).jpg,True,0.7384955322455322,False
39,apple,1,39,apple005T(6),0,36,167,333,445,images\apple005T(6).jpg,True,0.7305320637235725,False
40,apple,1,40,apple006S(1),0,445,151,729,394,images\apple006S(1).jpg,True,0.7649426305427196,False
41,apple,1,41,apple006S(2),0,293,168,572,375,images\apple006S(2).jpg,True,0.7558107879439402,False
42,apple,1,42,apple006S(3),0,478,145,733,365,images\apple006S(3).jpg,True,0.7759350254524887,False
43,apple,1,43,apple006S(4),0,391,142,642,354,images\apple006S(4).jpg,True,0.7809177032586605,False
44,apple,1,44,apple006T(1),0,112,149,410,447,images\apple006T(1).jpg,True,0.741900219150739,False
45,apple,1,45,apple006T(2),0,455,166,729,427,images\apple006T(2).jpg,True,0.7251097068769112,False
46,apple,1,46,apple006T(3),0,334,250,578,519,images\apple006T(3).jpg,True,0.7613439540237716,False
47,apple,1,47,apple006T(4),0,290,260,543,508,images\apple006T(4).jpg,True,0.7135431689040288,False
48,apple,1,48,apple007S(1),0,413,110,679,358,images\apple007S(1).jpg,True,0.7778048898936946,False
49,apple,1,49,apple007S(2),0,451,186,704,414,images\apple007S(2).jpg,True,0.7667242883314984,False
50,apple,1,50,apple007S(3),0,392,111,662,364,images\apple007S(3).jpg,True,0.7604651887318863,False
51,apple,1,51,apple007S(4),0,447,68,728,337,images\apple007S(4).jpg,True,0.7714590219346031,False
52,apple,1,52,apple007T(1),0,281,83,543,357,images\apple007T(1).jpg,True,0.7574503655186308,False
53,apple,1,53,apple007T(2),0,197,110,458,380,images\apple007T(2).jpg,True,0.7165054973394315,False
54,apple,1,54,apple007T(3),0,251,100,530,383,images\apple007T(3).jpg,True,0.7549856460117689,False
55,apple,1,55,apple007T(4),0,320,57,545,314,images\apple007T(4).jpg,True,0.7327701724197297,False
56,apple,1,56,apple008S(1),0,441,190,662,381,images\apple008S(1).jpg,True,0.7656058156971582,False
57,apple,1,57,apple008S(2),0,443,136,698,349,images\apple008S(2).jpg,True,0.7932446020864077,False
58,apple,1,58,apple008S(3),0,405,83,670,305,images\apple008S(3).jpg,True,0.7456202009407198,False
59,apple,1,59,apple008S(4),0,431,98,708,324,images\apple008S(4).jpg,True,0.7556080452857505,False
60,apple,1,60,apple008T(1),0,146,130,395,384,images\apple008T(1).jpg,True,0.7620023644726843,False
61,apple,1,61,apple008T(2),0,71,189,331,432,images\apple008T(2).jpg,True,0.7321160489529979,False
62,apple,1,62,apple008T(3),0,393,126,644,383,images\apple008T(3).jpg,True,0.7116043373595018,False
63,apple,1,63,apple008T(4),0,144,204,361,420,images\apple008T(4).jpg,True,0.7653743975020821,False
64,apple,1,64,apple009S(1),0,411,121,695,402,images\apple009S(1).jpg,True,0.7816764556984388,False
65,apple,1,65,apple009S(2),0,423,136,688,375,images\apple009S(2).jpg,True,0.7329137480453269,False
66,apple,1,66,apple009S(3),0,372,36,665,317,images\apple009S(3).jpg,True,0.7702725510780135,False
67,apple,1,67,apple009S(4),0,392,129,679,398,images\apple009S(4).jpg,True,0.7536129319260674,False
68,apple,1,68,apple009T(1),0,192,197,458,466,images\apple009T(1).jpg,True,0.7390164525700562,False
69,apple,1,69,apple009T(2),0,218,290,409,488,images\apple009T(2).jpg,True,0.7187535596725386,False
70,apple,1,70,apple009T(3),0,180,250,446,488,images\apple009T(3).jpg,True,0.7275922346423263,False
71,apple,1,71,apple009T(4),0,147,235,413,477,images\apple009T(4).jpg,True,0.7312769812145592,False
72,apple,1,72,apple010S(1),0,429,170,671,400,images\apple010S(1).jpg,True,0.770963860346702,False
73,apple,1,73,apple010S(2),0,476,127,743,373,images\apple010S(2).jpg,True,0.7723973847959185,False
74,apple,1,74,apple010S(3),0,432,165,692,389,images\apple010S(3).jpg,True,0.7615702073173338,False
75,apple,1,75,apple010S(4),0,446,171,688,408,images\apple010S(4).jpg,True,0.7783856417183062,False
76,apple,1,76,apple010T(1),0,143,337,383,597,images\apple010T(1).jpg,True,0.7069115554861991,False
77,apple,1,77,apple010T(2),0,161,267,376,485,images\apple010T(2).jpg,True,0.7344987839362872,False
78,apple,1,78,apple010T(3),0,269,157,430,342,images\apple010T(3).jpg,True,0.7072142312121743,False
79,apple,1,79,apple010T(4),0,120,251,327,466,images\apple010T(4).jpg,True,0.755934651572046,False
80,apple,1,80,apple011S(1),0,410,173,620,361,images\apple011S(1).jpg,True,0.7587433563489119,False
81,apple,2,1,apple011S(2),0,427,168,647,356,images\apple011S(2).jpg,True,0.746100442983674,False
82,apple,2,2,apple011S(3),0,382,212,614,414,images\apple011S(3).jpg,True,0.7972151444211748,False
83,apple,2,3,apple011S(4),0,420,218,636,402,images\apple011S(4).jpg,True,0.7332073435578365,False
84,apple,2,4,apple011S(5),0,463,259,686,450,images\apple011S(5).jpg,True,0.7748526203312429,False
85,apple,2,5,apple011T(1),0,115,260,356,486,images\apple011T(1).jpg,True,0.7411431301873,False
86,apple,2,6,apple011T(2),0,161,247,379,467,images\apple011T(2).jpg,True,0.7197828910980487,False
87,apple,2,7,apple011T(3),0,177,213,405,432,images\apple011T(3).jpg,True,0.74111898992941,False
88,apple,2,8,apple011T(4),0,257,228,499,459,images\apple011T(4).jpg,True,0.7386958875201985,False
89,apple,2,9,apple011T(5),0,145,224,392,451,images\apple011T(5).jpg,True,0.7355802989146165,False
90,apple,2,10,apple012S(1),0,101,95,351,319,images\apple012S(1).jpg,True,0.7790700819249639,False
91,apple,2,11,apple012S(2),0,122,166,382,382,images\apple012S(2).jpg,True,0.7999469696466293,False
92,apple,2,12,apple012S(3),0,261,179,495,381,images\apple012S(3).jpg,True,0.7723421911397033,False
93,apple,2,13,apple012S(4),0,135,88,385,292,images\apple012S(4).jpg,True,0.7731185623528822,False
94,apple,2,14,apple012T(1),0,326,214,557,440,images\apple012T(1).jpg,True,0.7600140067745371,False
95,apple,2,15,apple012T(2),0,320,188,540,409,images\apple012T(2).jpg,True,0.7671339700293481,False
96,apple,2,16,apple012T(3),0,276,234,487,441,images\apple012T(3).jpg,True,0.754549536508292,False
97,apple,2,17,apple012T(4),0,270,230,489,440,images\apple012T(4).jpg,True,0.7449088036765761,False
98,apple,2,18,apple012T(5),0,240,252,439,450,images\apple012T(5).jpg,True,0.6879472720319791,False
99,apple,2,19,apple013S(1),0,445,180,661,385,images\apple013S(1).jpg,True,0.7549945490630958,False
100,apple,2,20,apple013S(2),0,473,175,666,344,images\apple013S(2).jpg,True,0.7706546603747242,False
101,apple,2,21,apple013S(3),0,447,208,634,383,images\apple013S(3).jpg,True,0.7646897074067346,False
102,apple,2,22,apple013S(4),0,447,200,633,379,images\apple013S(4).jpg,True,0.7892209650543279,False
103,apple,2,23,apple013S(5),0,474,199,692,402,images\apple013S(5).jpg,True,0.7619821276131624,False
104,apple,2,24,apple013S(6),0,475,195,692,408,images\apple013S(6).jpg,True,0.7694545958874166,False
105,apple,2,25,apple013S(7),0,464,183,661,385,images\apple013S(7).jpg,True,0.780692379033978,False
106,apple,2,26,apple013S(8),0,510,211,720,417,images\apple013S(8).jpg,True,0.7884587282737046,False
107,apple,2,27,apple013T(1),0,295,257,489,451,images\apple013T(1).jpg,True,0.7198634545990193,False
108,apple,2,28,apple013T(2),0,169,194,383,406,images\apple013T(2).jpg,True,0.7414505443513796,False
109,apple,2,29,apple013T(3),0,269,245,509,483,images\apple013T(3).jpg,True,0.7387856358078855,False
110,apple,2,30,apple013T(4),0,286,257,510,474,images\apple013T(4).jpg,True,0.7439694832879231,False
111,apple,2,31,apple013T(5),0,362,217,576,428,images\apple013T(5).jpg,True,0.7357473463686804,False
112,apple,2,32,apple013T(6),0,193,192,385,389,images\apple013T(6).jpg,True,0.733389159295895,False
113,apple,2,33,apple013T(7),0,321,186,472,347,images\apple013T(7).jpg,True,0.751789392941359,False
114,apple,2,34,apple013T(8),0,246,302,447,506,images\apple013T(8).jpg,True,0.721390628339537,False
115,apple,2,35,apple014S(1),0,28,143,322,380,images\apple014S(1).jpg,True,0.7716639424889529,False
116,apple,2,36,apple014S(2),0,15,124,281,356,images\apple014S(2).jpg,True,0.7850967758468319,False
117,apple,2,37,apple014S(3),0,173,239,398,445,images\apple014S(3).jpg,True,0.7743862833965368,False
118,apple,2,38,apple014S(4),0,123,201,391,428,images\apple014S(4).jpg,True,0.7792566519614914,False
119,apple,2,39,apple014S(5),0,119,175,346,376,images\apple014S(5).jpg,True,0.7441369560611353,False
120,apple,2,40,apple014S(6),0,195,199,409,385,images\apple014S(6).jpg,True,0.7595095943837837,False
121,apple,2,41,apple014S(7),0,208,180,426,382,images\apple014S(7).jpg,True,0.7711237801735638,False
122,apple,2,42,apple014S(8),0,215,167,408,344,images\apple014S(8).jpg,True,0.7588220680076193,False
123,apple,2,43,apple014T(1),0,365,270,613,492,images\apple014T(1).jpg,True,0.734493456430163,False
124,apple,2,44,apple014T(2),0,390,263,611,466,images\apple014T(2).jpg,True,0.7328684172376101,False
125,apple,2,45,apple014T(3),0,382,242,614,455,images\apple014T(3).jpg,True,0.7415974907071967,False
126,apple,2,46,apple014T(4),0,291,268,507,472,images\apple014T(4).jpg,True,0.7314861756238515,False
127,apple,2,47,apple014T(5),0,348,240,573,443,images\apple014T(5).jpg,True,0.7612787930379039,False
128,apple,2,48,apple014T(6),0,299,243,533,454,images\apple014T(6).jpg,True,0.7138209215707565,False
129,apple,2,49,apple014T(7),0,349,216,559,445,images\apple014T(7).jpg,True,0.7453978646911549,False
130,apple,2,50,apple014T(8),0,413,250,626,450,images\apple014T(8).jpg,True,0.7385283728827333,False
131,apple,2,51,apple015S(1),0,387,239,605,434,images\apple015S(1).jpg,True,0.7744255187540763,False
132,apple,2,52,apple015S(10),0,362,196,581,390,images\apple015S(10).jpg,True,0.7790559334445226,False
133,apple,2,53,apple015S(11),0,387,173,600,367,images\apple015S(11).jpg,True,0.7618750398047084,False
134,apple,2,54,apple015S(12),0,379,171,599,371,images\apple015S(12).jpg,True,0.7809735657099218,False
135,apple,2,55,apple015S(13),0,447,227,662,415,images\apple015S(13).jpg,True,0.7656257998921261,False
136,apple,2,56,apple015S(2),0,393,225,604,409,images\apple015S(2).jpg,True,0.7930021358708925,False
137,apple,2,57,apple015S(3),0,412,256,625,444,images\apple015S(3).jpg,True,0.7695226648351647,False
138,apple,2,58,apple015S(4),0,396,162,622,356,images\apple015S(4).jpg,True,0.7874076536074058,False
139,apple,2,59,apple015S(5),0,409,222,612,412,images\apple015S(5).jpg,True,0.790306898621747,False
140,apple,2,60,apple015S(6),0,384,244,598,428,images\apple015S(6).jpg,True,0.772761945445525,False
141,apple,2,61,apple015S(7),0,420,182,633,373,images\apple015S(7).jpg,True,0.7378827471716676,False
142,apple,2,62,apple015S(8),0,396,233,609,414,images\apple015S(8).jpg,True,0.8097063743476147,False
143,apple,2,63,apple015S(9),0,407,238,614,422,images\apple015S(9).jpg,True,0.7973610596778881,False
144,apple,2,64,apple015T(1),0,342,247,631,508,images\apple015T(1).jpg,True,0.7263908257905579,False
145,apple,2,65,apple015T(10),0,365,210,591,431,images\apple015T(10).jpg,True,0.7617185635037124,False
146,apple,2,66,apple015T(11),0,369,277,595,500,images\apple015T(11).jpg,True,0.7350112917912089,False
147,apple,2,67,apple015T(12),0,324,219,575,466,images\apple015T(12).jpg,True,0.7348872954734774,False
148,apple,2,68,apple015T(13),0,385,193,661,481,images\apple015T(13).jpg,True,0.732897959244458,False
149,apple,2,69,apple015T(2),0,398,207,625,439,images\apple015T(2).jpg,True,0.7501055848751805,False
150,apple,2,70,apple015T(3),0,436,207,723,469,images\apple015T(3).jpg,True,0.7335121259200126,False
151,apple,2,71,apple015T(4),0,404,229,678,503,images\apple015T(4).jpg,True,0.7574829993963874,False
152,apple,2,72,apple015T(5),0,390,185,695,478,images\apple015T(5).jpg,True,0.7364791116014906,False
153,apple,2,73,apple015T(6),0,406,235,666,482,images\apple015T(6).jpg,True,0.7447443677054106,False
154,apple,2,74,apple015T(7),0,440,246,714,534,images\apple015T(7).jpg,True,0.7474621760093267,False
155,apple,2,75,apple015T(8),0,401,236,656,474,images\apple015T(8).jpg,True,0.7345473404326024,False
156,apple,2,76,apple015T(9),0,321,243,573,501,images\apple015T(9).jpg,True,0.7422351766503634,False
157,apple,2,77,apple016S(1),0,381,155,594,358,images\apple016S(1).jpg,True,0.7744391501468482,False
158,apple,2,78,apple016S(10),0,392,148,606,340,images\apple016S(10).jpg,True,0.7996233747055754,False
159,apple,2,79,apple016S(11),0,398,154,615,360,images\apple016S(11).jpg,True,0.7782296697670561,False
160,apple,2,80,apple016S(12),0,394,131,613,341,images\apple016S(12).jpg,True,0.7843234434095295,False
161,apple,3,1,apple016S(13),0,418,140,645,344,images\apple016S(13).jpg,True,0.7846227360003132,False
162,apple,3,2,apple016S(14),0,394,147,630,365,images\apple016S(14).jpg,True,0.7611358702700588,False
163,apple,3,3,apple016S(15),0,404,182,611,386,images\apple016S(15).jpg,True,0.7983001400652273,False
164,apple,3,4,apple016S(16),0,426,134,643,339,images\apple016S(16).jpg,True,0.7640890883339901,False
165,apple,3,5,apple016S(17),0,420,139,643,345,images\apple016S(17).jpg,True,0.786937723391325,False
166,apple,3,6,apple016S(18),0,372,149,589,351,images\apple016S(18).jpg,True,0.7735374906664791,False
167,apple,3,7,apple016S(19),0,414,120,637,326,images\apple016S(19).jpg,True,0.7840358223854211,False
168,apple,3,8,apple016S(2),0,461,87,695,301,images\apple016S(2).jpg,True,0.7722084409125888,False
169,apple,3,9,apple016S(20),0,432,140,645,351,images\apple016S(20).jpg,True,0.7683006469024629,False
170,apple,3,10,apple016S(21),0,421,142,656,356,images\apple016S(21).jpg,True,0.7779820999127155,False
171,apple,3,11,apple016S(22),0,406,139,633,345,images\apple016S(22).jpg,True,0.7696775354619442,False
172,apple,3,12,apple016S(23),0,408,176,620,373,images\apple016S(23).jpg,True,0.7750508855124711,False
173,apple,3,13,apple016S(24),0,434,137,645,348,images\apple016S(24).jpg,True,0.7592672232991875,False
174,apple,3,14,apple016S(25),0,403,148,627,351,images\apple016S(25).jpg,True,0.7989502779304869,False
175,apple,3,15,apple016S(3),0,398,144,617,341,images\apple016S(3).jpg,True,0.7806351611053661,False
176,apple,3,16,apple016S(4),0,401,138,628,339,images\apple016S(4).jpg,True,0.7681953028121816,False
177,apple,3,17,apple016S(5),0,404,124,629,336,images\apple016S(5).jpg,True,0.7670368080480559,False
178,apple,3,18,apple016S(6),0,399,141,631,346,images\apple016S(6).jpg,True,0.8047677856583068,False
179,apple,3,19,apple016S(7),0,366,139,592,348,images\apple016S(7).jpg,True,0.7592069380499707,False
180,apple,3,20,apple016S(8),0,403,120,618,330,images\apple016S(8).jpg,True,0.7918369119185926,False
181,apple,3,21,apple016S(9),0,394,142,606,348,images\apple016S(9).jpg,True,0.7693475400808756,False
182,apple,3,22,apple016T(1),0,421,225,639,440,images\apple016T(1).jpg,True,0.7576589358145177,False
183,apple,3,23,apple016T(10),0,370,194,604,429,images\apple016T(10).jpg,True,0.7738270318831093,False
184,apple,3,24,apple016T(11),0,415,156,662,412,images\apple016T(11).jpg,True,0.7419820510642218,False
185,apple,3,25,apple016T(12),0,411,192,648,427,images\apple016T(12).jpg,True,0.7310325731045715,False
186,apple,3,26,apple016T(13),0,415,216,650,440,images\apple016T(13).jpg,True,0.7775378216370338,False
187,apple,3,27,apple016T(14),0,326,206,520,400,images\apple016T(14).jpg,True,0.7155507193755833,False
188,apple,3,28,apple016T(15),0,397,229,624,447,images\apple016T(15).jpg,True,0.7292939179939397,False
189,apple,3,29,apple016T(16),0,398,217,601,416,images\apple016T(16).jpg,True,0.7372911488690586,False
190,apple,3,30,apple016T(17),0,350,209,558,422,images\apple016T(17).jpg,True,0.719297527825162,False
191,apple,3,31,apple016T(18),0,413,219,663,466,images\apple016T(18).jpg,True,0.758840865627668,False
192,apple,3,32,apple016T(19),0,406,204,642,449,images\apple016T(19).jpg,True,0.7385932279738,False
193,apple,3,33,apple016T(2),0,359,228,587,460,images\apple016T(2).jpg,True,0.7414911755721384,False
194,apple,3,34,apple016T(20),0,381,255,615,481,images\apple016T(20).jpg,True,0.7471211516297017,False
195,apple,3,35,apple016T(21),0,355,220,555,426,images\apple016T(21).jpg,True,0.760194629531942,False
196,apple,3,36,apple016T(22),0,401,244,614,454,images\apple016T(22).jpg,True,0.7490439782715107,False
197,apple,3,37,apple016T(23),0,400,180,621,406,images\apple016T(23).jpg,True,0.7171675495568633,False
198,apple,3,38,apple016T(24),0,414,222,663,461,images\apple016T(24).jpg,True,0.7423570697340477,False
199,apple,3,39,apple016T(25),0,358,236,585,453,images\apple016T(25).jpg,True,0.7506828760100797,False
200,apple,3,40,apple016T(3),0,312,153,559,408,images\apple016T(3).jpg,True,0.7445633905256284,False
201,apple,3,41,apple016T(4),0,369,176,606,426,images\apple016T(4).jpg,True,0.7397213671620384,False
202,apple,3,42,apple016T(5),0,368,199,605,432,images\apple016T(5).jpg,True,0.740945753924567,False
203,apple,3,43,apple016T(6),0,363,183,629,451,images\apple016T(6).jpg,True,0.729142347100252,False
204,apple,3,44,apple016T(7),0,371,186,623,428,images\apple016T(7).jpg,True,0.735735444324565,False
205,apple,3,45,apple016T(8),0,384,177,599,407,images\apple016T(8).jpg,True,0.7476989548785268,False
206,apple,3,46,apple016T(9),0,368,200,619,440,images\apple016T(9).jpg,True,0.7516905977163885,False
207,apple,3,47,apple017S(1),0,442,228,676,417,images\apple017S(1).jpg,True,0.7910229561699196,False
208,apple,3,48,apple017S(10),0,453,223,689,436,images\apple017S(10).jpg,True,0.7485273399412824,False
209,apple,3,49,apple017S(11),0,426,194,669,406,images\apple017S(11).jpg,True,0.755753636809265,False
210,apple,3,50,apple017S(12),0,430,201,672,409,images\apple017S(12).jpg,True,0.7543871088780898,False
211,apple,3,51,apple017S(13),0,418,222,658,428,images\apple017S(13).jpg,True,0.7514774398269424,False
212,apple,3,52,apple017S(14),0,428,235,656,433,images\apple017S(14).jpg,True,0.7773820233940995,False
213,apple,3,53,apple017S(15),0,451,207,700,422,images\apple017S(15).jpg,True,0.7801090891257931,False
214,apple,3,54,apple017S(16),0,421,209,656,410,images\apple017S(16).jpg,True,0.763692173444656,False
215,apple,3,55,apple017S(17),0,425,216,663,421,images\apple017S(17).jpg,True,0.7864013288457213,False
216,apple,3,56,apple017S(18),0,437,226,675,428,images\apple017S(18).jpg,True,0.7550305495221349,False
217,apple,3,57,apple017S(19),0,436,201,674,400,images\apple017S(19).jpg,True,0.7533495879907559,False
218,apple,3,58,apple017S(2),0,451,250,691,459,images\apple017S(2).jpg,True,0.7786671064701656,False
219,apple,3,59,apple017S(20),0,420,222,660,422,images\apple017S(20).jpg,True,0.7670924288531711,False
220,apple,3,60,apple017S(21),0,455,207,688,406,images\apple017S(21).jpg,True,0.7756526832377817,False
221,apple,3,61,apple017S(22),0,450,196,686,401,images\apple017S(22).jpg,True,0.7559200230907546,False
222,apple,3,62,apple017S(23),0,418,221,659,419,images\apple017S(23).jpg,True,0.7756847528656177,False
223,apple,3,63,apple017S(24),0,428,213,671,412,images\apple017S(24).jpg,True,0.756627706217238,False
224,apple,3,64,apple017S(25),0,432,202,661,404,images\apple017S(25).jpg,True,0.7922186762310329,False
225,apple,3,65,apple017S(26),0,439,185,679,386,images\apple017S(26).jpg,True,0.7775593812726143,False
226,apple,3,66,apple017S(27),0,413,234,643,427,images\apple017S(27).jpg,True,0.813225334615912,False
227,apple,3,67,apple017S(3),0,424,245,661,451,images\apple017S(3).jpg,True,0.7575303896062348,False
228,apple,3,68,apple017S(4),0,405,233,645,434,images\apple017S(4).jpg,True,0.7742357061202462,False
229,apple,3,69,apple017S(5),0,448,224,685,428,images\apple017S(5).jpg,True,0.7726150743132476,False
230,apple,3,70,apple017S(6),0,411,207,651,420,images\apple017S(6).jpg,True,0.7846795085326573,False
231,apple,3,71,apple017S(7),0,430,226,665,434,images\apple017S(7).jpg,True,0.79157984876627,False
232,apple,3,72,apple017S(8),0,422,246,655,451,images\apple017S(8).jpg,True,0.7673732209092974,False
233,apple,3,73,apple017S(9),0,441,221,674,428,images\apple017S(9).jpg,True,0.7203847628067596,False
234,apple,3,74,apple017T(1),0,404,242,645,479,images\apple017T(1).jpg,True,0.7488576605629325,False
235,apple,3,75,apple017T(10),0,417,189,641,412,images\apple017T(10).jpg,True,0.6924484202045678,False
236,apple,3,76,apple017T(11),0,420,208,660,435,images\apple017T(11).jpg,True,0.7398511133492949,False
237,apple,3,77,apple017T(12),0,406,208,657,451,images\apple017T(12).jpg,True,0.7460849637742588,False
238,apple,3,78,apple017T(13),0,414,178,641,394,images\apple017T(13).jpg,True,0.7223665002619585,False
239,apple,3,79,apple017T(14),0,373,197,590,403,images\apple017T(14).jpg,True,0.7213270407925848,False
240,apple,3,80,apple017T(15),0,423,228,629,433,images\apple017T(15).jpg,True,0.7370690076880726,False
241,apple,4,1,apple017T(16),0,408,179,660,419,images\apple017T(16).jpg,True,0.7438761587978793,False
242,apple,4,2,apple017T(17),0,439,225,674,453,images\apple017T(17).jpg,True,0.7262227594797994,False
243,apple,4,3,apple017T(18),0,367,194,577,408,images\apple017T(18).jpg,True,0.7309315425950527,False
244,apple,4,4,apple017T(19),0,392,187,628,421,images\apple017T(19).jpg,True,0.7456855481755913,False
245,apple,4,5,apple017T(2),0,383,233,627,473,images\apple017T(2).jpg,True,0.7418705868079757,False
246,apple,4,6,apple017T(20),0,402,235,627,459,images\apple017T(20).jpg,True,0.7396357829225443,False
247,apple,4,7,apple017T(21),0,351,187,566,396,images\apple017T(21).jpg,True,0.7602688665914681,False
248,apple,4,8,apple017T(22),0,424,229,631,435,images\apple017T(22).jpg,True,0.7603630875104229,False
249,apple,4,9,apple017T(23),0,407,253,624,466,images\apple017T(23).jpg,True,0.782388376116429,False
250,apple,4,10,apple017T(24),0,356,195,560,398,images\apple017T(24).jpg,True,0.7249505525654398,False
251,apple,4,11,apple017T(25),0,351,202,582,414,images\apple017T(25).jpg,True,0.723401018886424,False
252,apple,4,12,apple017T(26),0,375,205,621,441,images\apple017T(26).jpg,True,0.7388758856275304,False
253,apple,4,13,apple017T(27),0,342,183,577,420,images\apple017T(27).jpg,True,0.7092034475949986,False
254,apple,4,14,apple017T(3),0,373,199,594,421,images\apple017T(3).jpg,True,0.7396457625812565,False
255,apple,4,15,apple017T(4),0,409,203,626,417,images\apple017T(4).jpg,True,0.7635189753670651,False
256,apple,4,16,apple017T(5),0,374,217,579,418,images\apple017T(5).jpg,True,0.732246653598593,False
257,apple,4,17,apple017T(6),0,364,185,583,395,images\apple017T(6).jpg,True,0.7186207674707561,False
258,apple,4,18,apple017T(7),0,415,211,643,436,images\apple017T(7).jpg,True,0.7459284068662575,False
259,apple,4,19,apple017T(8),0,413,173,636,395,images\apple017T(8).jpg,True,0.7639887883404632,False
260,apple,4,20,apple017T(9),0,395,137,629,367,images\apple017T(9).jpg,True,0.7223984777115131,False
261,apple,4,21,apple018S(1),0,446,192,644,369,images\apple018S(1).jpg,True,0.7728592620185415,False
262,apple,4,22,apple018S(10),0,444,176,646,365,images\apple018S(10).jpg,True,0.7674086832258187,False
263,apple,4,23,apple018S(11),0,456,146,665,331,images\apple018S(11).jpg,True,0.7921128592894263,False
264,apple,4,24,apple018S(2),0,381,173,597,354,images\apple018S(2).jpg,True,0.7869920495595026,False
265,apple,4,25,apple018S(3),0,433,180,623,358,images\apple018S(3).jpg,True,0.7664658024668801,False
266,apple,4,26,apple018S(4),0,436,191,644,367,images\apple018S(4).jpg,True,0.7539061557943754,False
267,apple,4,27,apple018S(5),0,467,190,658,357,images\apple018S(5).jpg,True,0.8109178289204376,False
